iter	Passed	Remaining
1318	642326	9104180
1319	642861	9104364
1320	643320	9103472
1321	643880	9104011
1322	644355	9103355
1323	644823	9102584
1324	645266	9101469
1325	645754	9100994
1326	646191	9099803
1327	646659	9099034
1328	647115	9098108
1329	647617	9097833
1330	648046	9096523
1331	648498	9095547
1332	648985	9095057
1333	649419	9093824
1334	649897	9093208
1335	650384	9092717
1336	650843	9091831
1337	651313	9091110
1338	651780	9090342
1339	652244	9089527
1340	652717	9088845
1341	653172	9087914
1342	653627	9086982
1343	654115	9086509
1344	654627	9086362
1345	655080	9085405
1346	655507	9084082
1347	655952	9083022
1348	656403	9082031
1349	656874	9081333
1350	657310	9080141
1351	657761	9079155
1352	658196	9077949
1353	658647	9076970
1354	659169	9076969
1355	659635	9076195
1356	660075	9075062
1357	660533	9074177
1358	660978	9073115
1359	661441	9072311
1360	661876	9071118
1361	662345	9070387
1362	662812	9069627
1363	663239	9068330
1364	663689	9067338
1365	664137	9066333
1366	664591	9065395
1367	665041	9064414
1368	665474	9063204
1369	665931	9062311
1370	666369	9061167
1371	666824	9060252
1372	667282	9059376
1373	667731	9058393
1374	668156	9057076
1375	668588	9055851
1376	669048	9055006
1377	669519	9054320
1378	669946	9053028
1379	670394	9052033
1380	670852	9051164
1381	671319	9050419
1382	671778	9049566
1383	672206	9048293
1384	672640	9047111
1385	673047	9045566
1386	673467	9044187
1387	673905	9043063
1388	674339	9041875
1389	674799	9041052
1390	675294	9040693
1391	675754	9039855
1392	676204	9038893
1393	676679	9038262
1394	677147	9037543
1395	677587	9036436
1396	678047	9035610
1397	678506	9034775
1398	678962	9033894
1399	679379	9032488
1400	679803	9031183
1401	680237	9030015
1402	680678	9028949
1403	681100	9027611
1404	681514	9026184
1405	681971	9025316
1406	682392	9023986
1407	682827	9022837
1408	683279	9021910
1409	683704	9020628
1410	684157	9019716
1411	684651	9019355
1412	685116	9018596
1413	685558	9017545
1414	686013	9016657
1415	686444	9015463
1416	686881	9014345
1417	687334	9013442
1418	687781	9012456
1419	688228	9011483
1420	688679	9010552
1421	689129	9009606
1422	689554	9008333
1423	690008	9007446
1424	690412	9005908
1425	690871	9005082
1426	691315	9004072
1427	691762	9003095
1428	692210	9002128
1429	692682	9001483
1430	693119	9000371
1431	693541	8999081
1432	693957	8997703
1433	694396	8996627
1434	694856	8995820
1435	695383	8995882
1436	695917	8996048
1437	696412	8995688
1438	696887	8995081
1439	697307	8993768
1440	697761	8992880
1441	698217	8992031
1442	698643	8990791
1443	699054	8989369
1444	699473	8988039
1445	699907	8986904
1446	700371	8986162
1447	700810	8985095
1448	701253	8984088
1449	701719	8983360
1450	702160	8982322
1451	702605	8981337
1452	703088	8980839
1453	703515	8979631
1454	703950	8978511
1455	704400	8977597
1456	704822	8976321
1457	705259	8975237
1458	705722	8974487
1459	706188	8973777
1460	706664	8973188
1461	707200	8973361
1462	707613	8971980
1463	708083	8971316
1464	708522	8970268
1465	708955	8969132
1466	709395	8968095
1467	709806	8966692
1468	710221	8965340
1469	710671	8964420
1470	711143	8963789
1471	711581	8962729
1472	712013	8961599
1473	712439	8960385
1474	712877	8959328
1475	713315	8958279
1476	713788	8957658
1477	714254	8956953
1478	714698	8955979
1479	715149	8955081
1480	715633	8954604
1481	716071	8953551
1482	716493	8952295
1483	716493	8952295
1484	717098	8952847
1485	717528	8951698
1486	718239	8954048
1487	718861	8955296
1488	719484	8956537
1489	719981	8956219
1490	720439	8955420
1491	720876	8954354
1492	721308	8953227
1493	721798	8952819
